match_id,ist_fall,status,espn_hz,fd_hz,eigentor_h1
B1-0708-2007-12-08-germinal-bergen,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2007-12-08-waregem-dender,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2007-12-14-genk-waregem,0,Halbzeit stimmt,1:2,1:2,0
B1-0708-2007-12-22-anderlecht-bergen,0,Halbzeit stimmt,3:1,3:1,1
B1-0708-2007-12-22-gent-dender,1,Halbzeit stimmt,1:2,1:2,0
B1-0708-2007-12-22-waregem-brussels,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-01-19-anderlecht-mechelen,0,Halbzeit stimmt,1:0,1:0,1
B1-0708-2008-01-19-germinal-dender,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2008-01-19-standard-waregem,0,Halbzeit stimmt,1:1,1:1,0
B1-0708-2008-01-19-westerlo-brussels,1,Halbzeit stimmt,4:2,4:2,0
B1-0708-2008-02-02-anderlecht-dender,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2008-02-02-gent-brussels,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2008-02-03-germinal-lokeren,1,Halbzeit stimmt,0:1,0:1,0
B1-0708-2008-02-09-club-brugge-mechelen,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2008-02-09-standard-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-02-16-germinal-waregem,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-02-17-anderlecht-mouscron,0,Halbzeit stimmt,2:0,2:0,0
B1-0708-2008-02-22-genk-st-truiden,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-02-23-cercle-brugge-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-02-29-club-brugge-charleroi,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-03-01-st-truiden-brussels,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2008-03-02-anderlecht-genk,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2008-03-07-standard-st-truiden,0,Halbzeit stimmt,2:1,2:1,0
B1-0708-2008-03-15-club-brugge-brussels,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-03-16-anderlecht-roeselare,0,Halbzeit stimmt,3:0,3:0,0
B1-0708-2008-03-23-standard-bergen,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-03-29-charleroi-brussels,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-03-30-anderlecht-cercle-brugge,0,Halbzeit stimmt,1:1,1:1,0
B1-0708-2008-03-30-club-brugge-genk,0,Halbzeit stimmt,1:4,1:4,0
B1-0708-2008-04-04-gent-st-truiden,1,Halbzeit stimmt,0:2,0:2,1
B1-0708-2008-04-05-cercle-brugge-bergen,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-04-05-genk-lokeren,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-04-06-standard-mouscron,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-04-12-dender-brussels,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-04-13-anderlecht-germinal,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-04-19-germinal-st-truiden,0,Halbzeit stimmt,2:0,2:0,1
B1-0708-2008-04-26-anderlecht-st-truiden,0,Halbzeit stimmt,0:1,0:1,0
B1-0708-2008-04-26-genk-brussels,0,Halbzeit stimmt,2:1,2:1,0
B1-0708-2008-04-27-club-brugge-roeselare,0,Halbzeit stimmt,1:0,1:0,0
B1-0708-2008-05-03-cercle-brugge-brussels,0,Halbzeit stimmt,0:0,0:0,0
B1-0708-2008-05-03-standard-dender,0,Halbzeit stimmt,2:0,2:0,0
B1-0708-2008-05-10-club-brugge-westerlo,0,Halbzeit stimmt,2:0,2:0,0
B1-0809-2008-08-17-gent-bergen,0,Halbzeit stimmt,3:0,3:0,0
B1-0809-2008-08-23-charleroi-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-08-23-germinal-dender,0,Halbzeit stimmt,1:1,1:1,0
B1-0809-2008-08-23-standard-westerlo,0,Halbzeit stimmt,2:0,2:0,0
B1-0809-2008-08-30-anderlecht-kortrijk,0,Halbzeit stimmt,2:0,2:0,0
B1-0809-2008-08-30-genk-lokeren,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-08-31-gent-charleroi,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-09-13-club-brugge-dender,1,Halbzeit stimmt,0:1,0:1,0
B1-0809-2008-09-13-germinal-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-09-13-mechelen-tubize,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-09-13-standard-kortrijk,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-09-19-anderlecht-charleroi,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-09-20-gent-mechelen,1,Halbzeit stimmt,1:1,1:1,1
B1-0809-2008-09-27-charleroi-kortrijk,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-09-27-club-brugge-westerlo,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-09-27-waregem-tubize,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-10-03-anderlecht-mouscron,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-10-04-genk-mechelen,0,Halbzeit stimmt,2:1,2:1,0
B1-0809-2008-10-04-gent-lokeren,1,Halbzeit stimmt,0:1,0:1,0
B1-0809-2008-10-18-mouscron-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-10-18-standard-bergen,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-10-25-anderlecht-mechelen,1,Halbzeit stimmt,4:1,4:1,0
B1-0809-2008-10-25-cercle-brugge-dender,0,Halbzeit stimmt,1:1,1:1,0
B1-0809-2008-10-25-westerlo-tubize,0,Halbzeit stimmt,2:0,2:0,1
B1-0809-2008-10-29-club-brugge-waregem,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-10-31-standard-charleroi,1,Halbzeit stimmt,1:1,1:1,0
B1-0809-2008-11-01-club-brugge-kortrijk,1,Halbzeit stimmt,2:1,2:1,0
B1-0809-2008-11-08-anderlecht-lokeren,1,Halbzeit stimmt,0:2,0:2,0
B1-0809-2008-11-08-gent-dender,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-11-15-genk-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-11-22-anderlecht-westerlo,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-11-22-cercle-brugge-mechelen,0,Halbzeit stimmt,1:1,1:1,0
B1-0809-2008-11-22-charleroi-tubize,1,Halbzeit stimmt,0:2,0:2,0
B1-0809-2008-11-22-standard-mouscron,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-11-29-gent-roeselare,0,Halbzeit stimmt,2:0,2:0,0
B1-0809-2008-11-29-westerlo-bergen,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-11-30-club-brugge-germinal,0,Halbzeit weicht ab,1:0,2:0,0
B1-0809-2008-12-06-anderlecht-tubize,0,Halbzeit stimmt,3:0,3:0,0
B1-0809-2008-12-06-standard-waregem,0,Halbzeit weicht ab,0:0,1:0,0
B1-0809-2008-12-13-genk-charleroi,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2008-12-13-gent-kortrijk,1,Halbzeit stimmt,1:1,1:1,0
B1-0809-2008-12-19-anderlecht-genk,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-12-20-cercle-brugge-roeselare,0,Halbzeit stimmt,3:0,3:0,0
B1-0809-2008-12-20-charleroi-dender,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-12-20-germinal-tubize,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2008-12-21-standard-gent,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-01-16-anderlecht-cercle-brugge,1,Halbzeit stimmt,1:1,1:1,0
B1-0809-2009-01-17-club-brugge-mechelen,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-01-17-mouscron-tubize,1,Halbzeit stimmt,0:1,0:1,0
B1-0809-2009-01-17-standard-dender,0,Halbzeit stimmt,2:2,2:2,1
B1-0809-2009-01-24-cercle-brugge-kortrijk,1,Halbzeit stimmt,0:1,0:1,0
B1-0809-2009-01-24-genk-bergen,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-01-31-club-brugge-tubize,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-01-31-mouscron-dender,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2009-01-31-standard-roeselare,0,Halbzeit stimmt,2:0,2:0,0
B1-0809-2009-02-07-anderlecht-bergen,1,Halbzeit weicht ab,0:2,1:2,0
B1-0809-2009-02-07-gent-mouscron,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-02-08-cercle-brugge-charleroi,1,Halbzeit stimmt,1:1,1:1,0
B1-0809-2009-02-14-standard-tubize,0,Halbzeit stimmt,2:0,2:0,0
B1-0809-2009-02-14-waregem-dender,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2009-02-20-genk-mouscron,1,Halbzeit stimmt,1:1,1:1,0
B1-0809-2009-02-28-club-brugge-roeselare,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-02-28-germinal-kortrijk,0,Halbzeit weicht ab,1:0,2:0,0
B1-0809-2009-03-01-standard-cercle-brugge,0,Halbzeit stimmt,2:0,2:0,0
B1-0809-2009-03-07-anderlecht-waregem,0,Halbzeit stimmt,2:0,2:0,0
B1-0809-2009-03-07-genk-dender,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-03-07-gent-tubize,0,Halbzeit stimmt,2:0,2:0,0
B1-0809-2009-03-14-germinal-bergen,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2009-03-15-standard-genk,0,Halbzeit weicht ab,0:0,1:0,0
B1-0809-2009-03-21-anderlecht-germinal,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2009-03-21-cercle-brugge-mouscron,1,Halbzeit stimmt,0:1,0:1,0
B1-0809-2009-03-21-genk-tubize,0,Halbzeit weicht ab,2:0,3:0,0
B1-0809-2009-03-21-westerlo-dender,0,Halbzeit stimmt,1:1,1:1,0
B1-0809-2009-04-04-club-brugge-charleroi,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-04-04-genk-westerlo,1,Halbzeit stimmt,1:2,1:2,0
B1-0809-2009-04-05-standard-germinal,1,Halbzeit stimmt,2:1,2:1,0
B1-0809-2009-04-11-cercle-brugge-tubize,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-04-11-standard-lokeren,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-04-18-club-brugge-bergen,1,Halbzeit weicht ab,1:1,1:2,0
B1-0809-2009-04-25-anderlecht-dender,0,Halbzeit stimmt,3:0,3:0,0
B1-0809-2009-04-25-kortrijk-tubize,0,Halbzeit stimmt,2:1,2:1,0
B1-0809-2009-04-25-standard-mechelen,0,Halbzeit stimmt,4:0,4:0,0
B1-0809-2009-05-01-club-brugge-lokeren,0,Endstand weicht ab,0:0,0:2,0
B1-0809-2009-05-02-dender-bergen,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2009-05-02-gent-cercle-brugge,0,Halbzeit stimmt,1:1,1:1,0
B1-0809-2009-05-02-westerlo-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2009-05-03-genk-kortrijk,0,Halbzeit stimmt,0:0,0:0,0
B1-0809-2009-05-09-anderlecht-roeselare,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-05-09-standard-club-brugge,0,Halbzeit stimmt,1:0,1:0,0
B1-0809-2009-05-16-club-brugge-mouscron,0,Halbzeit stimmt,3:1,3:1,0
B1-0809-2009-05-16-dender-charleroi,0,Halbzeit stimmt,0:1,0:1,0
B1-0809-2009-05-16-waregem-bergen,0,Halbzeit stimmt,1:0,1:0,0
B1-0910-2009-07-31-standard-st-truiden,1,Halbzeit stimmt,1:1,1:1,0
B1-0910-2009-08-08-anderlecht-cercle-brugge,0,Halbzeit stimmt,2:1,2:1,1
B1-0910-2009-08-09-club-brugge-lokeren,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-08-09-gent-mechelen,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-08-15-anderlecht-westerlo,0,Halbzeit stimmt,2:0,2:0,0
B1-0910-2009-08-21-standard-charleroi,0,Halbzeit stimmt,1:1,1:1,0
B1-0910-2009-08-22-gent-lokeren,0,Halbzeit stimmt,1:0,1:0,0
B1-0910-2009-08-23-club-brugge-kortrijk,1,Halbzeit stimmt,1:2,1:2,0
B1-0910-2009-09-12-gent-roeselare,0,Halbzeit stimmt,1:0,1:0,0
B1-0910-2009-09-12-standard-mechelen,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-09-12-waregem-kortrijk,1,Halbzeit stimmt,0:1,0:1,0
B1-0910-2009-09-19-mechelen-roeselare,0,Halbzeit stimmt,3:1,3:1,0
B1-0910-2009-09-20-anderlecht-gent,0,Halbzeit stimmt,1:1,1:1,0
B1-0910-2009-09-23-club-brugge-waregem,1,Halbzeit stimmt,1:1,1:1,0
B1-0910-2009-09-23-gent-westerlo,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-09-23-standard-cercle-brugge,0,Halbzeit stimmt,1:0,1:0,0
B1-0910-2009-09-26-genk-roeselare,0,Halbzeit stimmt,1:0,1:0,0
B1-0910-2009-09-27-anderlecht-germinal,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-10-04-standard-genk,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-10-17-anderlecht-charleroi,0,Halbzeit stimmt,2:0,2:0,0
B1-0910-2009-10-24-standard-waregem,0,Halbzeit stimmt,1:1,1:1,0
B1-0910-2009-10-31-anderlecht-lokeren,0,Halbzeit stimmt,1:0,1:0,0
B1-0910-2009-10-31-club-brugge-st-truiden,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-10-31-westerlo-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-11-07-germinal-st-truiden,1,Halbzeit stimmt,0:1,0:1,0
B1-0910-2009-11-21-anderlecht-roeselare,0,Halbzeit stimmt,3:0,3:0,1
B1-0910-2009-11-21-club-brugge-germinal,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-11-27-anderlecht-kortrijk,0,Halbzeit stimmt,1:0,1:0,0
B1-0910-2009-11-28-club-brugge-charleroi,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-11-28-gent-cercle-brugge,0,Halbzeit stimmt,2:0,2:0,0
B1-0910-2009-11-28-germinal-roeselare,0,Halbzeit stimmt,2:0,2:0,0
B1-0910-2009-11-29-waregem-lokeren,0,Halbzeit stimmt,1:0,1:0,0
B1-0910-2009-12-12-club-brugge-mechelen,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-12-12-germinal-charleroi,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-12-12-standard-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2009-12-26-club-brugge-cercle-brugge,1,Halbzeit stimmt,0:1,0:1,0
B1-0910-2009-12-26-standard-lokeren,0,Halbzeit stimmt,2:0,2:0,0
B1-0910-2009-12-30-anderlecht-waregem,0,Halbzeit weicht ab,1:0,2:0,0
B1-0910-2010-01-15-gent-kortrijk,0,Halbzeit stimmt,1:1,1:1,0
B1-0910-2010-01-23-lokeren-roeselare,1,Halbzeit stimmt,0:1,0:1,0
B1-0910-2010-01-30-club-brugge-westerlo,0,Endstand weicht ab,0:0,1:0,0
B1-0910-2010-01-31-gent-waregem,1,Halbzeit stimmt,0:1,0:1,0
B1-0910-2010-01-31-standard-kortrijk,1,Halbzeit stimmt,1:1,1:1,0
B1-0910-2010-02-06-anderlecht-st-truiden,0,Halbzeit stimmt,1:1,1:1,0
B1-0910-2010-02-06-cercle-brugge-roeselare,0,Halbzeit stimmt,2:0,2:0,0
B1-0910-2010-02-14-standard-westerlo,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2010-02-19-genk-lokeren,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2010-02-20-gent-st-truiden,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2010-02-20-waregem-roeselare,0,Halbzeit stimmt,1:1,1:1,0
B1-0910-2010-02-21-anderlecht-mechelen,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2010-03-14-anderlecht-genk,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2010-03-14-club-brugge-roeselare,0,Halbzeit stimmt,0:0,0:0,0
B1-0910-2010-03-14-gent-charleroi,1,Halbzeit stimmt,1:1,1:1,0
B1-1011-2010-07-31-anderlecht-eupen,0,Halbzeit weicht ab,0:0,0:1,0
B1-1011-2010-08-07-club-brugge-st-truiden,0,Halbzeit stimmt,4:1,4:1,0
B1-1011-2010-08-14-anderlecht-germinal,0,Endstand weicht ab,0:0,1:0,0
