datum,liga,liga_code,saison,team,gegner,vorquote_fair,torniveau_liga_saison,minute_gegentor,modell_p_sieg,modell_faire_quote,lohnt_ab_quote,live_quote_notiert,einsatz,notiert_am,bemerkung,endstand,ergebnis,treffer
2006-03-18,Bundesliga,D1,0506,leverkusen,mainz,1.6978,2.814,34,0.2863,3.49,3.68,,,,,1:2,niederlage,0
2006-03-21,La Liga,SP1,0506,barcelona,getafe,1.3462,2.463,5,0.6115,1.64,1.72,,,,,3:1,sieg,1
2006-03-25,Bundesliga,D1,0506,hamburg,dortmund,1.7901,2.814,25,0.2885,3.47,3.65,,,,,2:4,niederlage,0
2006-03-25,Serie A,I1,0506,milan,fiorentina,1.7419,2.608,12,0.3557,2.81,2.96,,,,,3:1,sieg,1
2006-03-26,Serie A,I1,0506,siena,lecce,1.7472,2.608,4,0.3871,2.58,2.72,,,,,1:2,niederlage,0
2006-03-27,Premier League,E0,0506,Tottenham,west brom,1.552,2.484,21,0.402,2.49,2.62,,,,,2:1,sieg,1
2006-04-09,Premier League,E0,0506,Chelsea,West Ham,1.3234,2.484,10,0.6098,1.64,1.73,,,,,4:1,sieg,1
2006-04-09,Serie A,I1,0506,milan,chievo,1.4356,2.608,13,0.5081,1.97,2.07,,,,,4:1,sieg,1
2006-04-22,Serie A,I1,0506,juventus,lazio,1.7955,2.608,29,0.2724,3.67,3.87,,,,,1:1,unentschieden,0
2006-04-23,La Liga,SP1,0506,real madrid,malaga,1.2945,2.463,22,0.5854,1.71,1.8,,,,,2:1,sieg,1
2006-04-30,Ligue 1,F1,0506,bordeaux,le mans,1.7472,2.134,20,0.3217,3.11,3.27,,,,,2:2,unentschieden,0
2006-05-03,Bundesliga,D1,0506,bayern munich,stuttgart,1.5056,2.814,6,0.4943,2.02,2.13,,,,,3:1,sieg,1
2006-05-06,Ligue 1,F1,0506,nice,metz,1.6786,2.134,22,0.3396,2.94,3.1,,,,,2:1,sieg,1
2006-05-06,Ligue 1,F1,0506,paris sg,ajaccio,1.6057,2.134,19,0.3837,2.61,2.74,,,,,2:4,niederlage,0
2006-05-07,Premier League,E0,0506,Everton,west brom,1.7901,2.484,14,0.3305,3.03,3.19,,,,,2:2,unentschieden,0
2006-05-13,Bundesliga,D1,0506,bayern munich,dortmund,1.6727,2.814,2,0.4264,2.35,2.47,,,,,3:3,unentschieden,0
2006-05-13,Ligue 1,F1,0506,lens,nantes,1.6215,2.134,8,0.4235,2.36,2.49,,,,,3:1,sieg,1
2006-05-13,Ligue 1,F1,0506,lyon,le mans,1.6786,2.134,15,0.3682,2.72,2.86,,,,,8:1,sieg,1
2006-05-14,Serie A,I1,0506,sampdoria,lecce,1.7713,2.608,25,0.2945,3.4,3.58,,,,,1:3,niederlage,0
2006-08-04,Belgien Pro League,B1,0607,standard,charleroi,1.6055,2.784,1,0.4622,2.16,2.28,,,,,1:2,niederlage,0
2006-08-05,Belgien Pro League,B1,0607,gent,mouscron,1.7955,2.784,5,0.3651,2.74,2.88,,,,,1:3,niederlage,0
2006-08-05,Scottish Premiership,SC0,0607,rangers,dundee united,1.2389,2.456,15,0.6734,1.49,1.56,,,,,2:2,unentschieden,0
2006-08-12,Bundesliga,D1,0607,hamburg,bielefeld,1.552,2.735,32,0.3557,2.81,2.96,,,,,1:1,unentschieden,0
2006-08-19,Bundesliga,D1,0607,werder bremen,leverkusen,1.7931,2.735,15,0.3255,3.07,3.23,,,,,2:1,sieg,1
2006-08-19,Griechenland Super League,G1,0607,olympiakos,xanthi,1.4028,2.329,5,0.5671,1.76,1.86,,,,,2:1,sieg,1
2006-08-26,Premier League,E0,0607,Liverpool,West Ham,1.552,2.45,12,0.4412,2.27,2.39,,,,,2:1,sieg,1
2006-08-26,Griechenland Super League,G1,0607,panathinaikos,ionikos,1.285,2.329,29,0.5645,1.77,1.87,,,,,0:2,niederlage,0
2006-08-26,Primeira Liga,P1,0607,sp lisbon,boavista,1.7153,2.308,17,0.3454,2.9,3.05,,,,,3:2,sieg,1
2006-08-26,Scottish Premiership,SC0,0607,celtic,hibernian,1.4267,2.456,8,0.5366,1.86,1.96,,,,,2:1,sieg,1
2006-09-09,Premier League,E0,0607,Arsenal,middlesbrough,1.4402,2.45,22,0.4647,2.15,2.27,,,,,1:1,unentschieden,0
2006-09-09,Ligue 1,F1,0607,bordeaux,nice,1.7431,2.25,29,0.289,3.46,3.64,,,,,3:2,sieg,1
2006-09-10,Eredivisie,N1,0607,groningen,heracles,1.7153,2.99,1,0.4126,2.42,2.55,,,,,2:1,sieg,1
2006-09-16,Bundesliga,D1,0607,nurnberg,bochum,1.7399,2.735,10,0.3647,2.74,2.89,,,,,1:1,unentschieden,0
2006-09-16,Ligue 1,F1,0607,lille,toulouse,1.7447,2.25,17,0.3345,2.99,3.15,,,,,1:3,niederlage,0
2006-09-17,Eredivisie,N1,0607,az alkmaar,twente,1.435,2.99,14,0.504,1.98,2.09,,,,,2:2,unentschieden,0
