match_id,league,league_name,season,season_name,date,time,home_team,away_team,home_team_raw,away_team_raw,fthg,ftag,ftr,hthg,htag,hr,ar,b365h,b365d,b365a
I1-2122-2021-12-04-napoli-atalanta,I1,Serie A,2122,2021/22,2021-12-04,19:45,napoli,atalanta,Napoli,Atalanta,2,3,A,1,1,0,0,2.45,3.5,2.8
I1-2122-2021-12-05-bologna-fiorentina,I1,Serie A,2122,2021/22,2021-12-05,11:30,bologna,fiorentina,Bologna,Fiorentina,2,3,A,1,1,0,0,2.87,3.3,2.5
I1-2122-2021-12-05-spezia-sassuolo,I1,Serie A,2122,2021/22,2021-12-05,14:00,spezia,sassuolo,Spezia,Sassuolo,2,2,D,1,0,0,0,3.3,3.75,2.05
I1-2122-2021-12-05-venezia-verona,I1,Serie A,2122,2021/22,2021-12-05,14:00,venezia,verona,Venezia,Verona,3,4,A,3,0,1,0,3.6,3.5,2
I1-2122-2021-12-05-sampdoria-lazio,I1,Serie A,2122,2021/22,2021-12-05,17:00,sampdoria,lazio,Sampdoria,Lazio,1,3,A,0,3,0,1,3.5,3.6,2.05
I1-2122-2021-12-05-juventus-genoa,I1,Serie A,2122,2021/22,2021-12-05,19:45,juventus,genoa,Juventus,Genoa,2,0,H,1,0,0,0,1.25,6,12
I1-2122-2021-12-06-empoli-udinese,I1,Serie A,2122,2021/22,2021-12-06,17:30,empoli,udinese,Empoli,Udinese,3,1,H,0,1,0,0,2.6,3.25,2.8
I1-2122-2021-12-06-cagliari-torino,I1,Serie A,2122,2021/22,2021-12-06,19:45,cagliari,torino,Cagliari,Torino,1,1,D,0,1,0,0,3.5,3.2,2.25
I1-2122-2021-12-10-genoa-sampdoria,I1,Serie A,2122,2021/22,2021-12-10,19:45,genoa,sampdoria,Genoa,Sampdoria,1,3,A,0,1,0,0,3.2,3.3,2.25
I1-2122-2021-12-11-fiorentina-salernitana,I1,Serie A,2122,2021/22,2021-12-11,14:00,fiorentina,salernitana,Fiorentina,Salernitana,4,0,H,1,0,0,0,1.3,5.5,9.5
I1-2122-2021-12-11-venezia-juventus,I1,Serie A,2122,2021/22,2021-12-11,17:00,venezia,juventus,Venezia,Juventus,1,1,D,0,1,0,0,9,4.75,1.36
I1-2122-2021-12-11-udinese-milan,I1,Serie A,2122,2021/22,2021-12-11,19:45,udinese,milan,Udinese,Milan,1,1,D,1,0,1,0,4.2,3.5,1.9
I1-2122-2021-12-12-torino-bologna,I1,Serie A,2122,2021/22,2021-12-12,11:30,torino,bologna,Torino,Bologna,2,1,H,1,0,0,0,2.2,3.25,3.5
I1-2122-2021-12-12-verona-atalanta,I1,Serie A,2122,2021/22,2021-12-12,14:00,verona,atalanta,Verona,Atalanta,1,2,A,1,1,0,0,3.8,3.8,1.9
I1-2122-2021-12-12-napoli-empoli,I1,Serie A,2122,2021/22,2021-12-12,17:00,napoli,empoli,Napoli,Empoli,0,1,A,0,0,0,0,1.33,5,10
I1-2122-2021-12-12-sassuolo-lazio,I1,Serie A,2122,2021/22,2021-12-12,17:00,sassuolo,lazio,Sassuolo,Lazio,2,1,H,0,1,1,0,2.7,3.5,2.5
I1-2122-2021-12-12-inter-cagliari,I1,Serie A,2122,2021/22,2021-12-12,19:45,inter,cagliari,Inter,Cagliari,4,0,H,1,0,0,0,1.16,8,15
I1-2122-2021-12-13-roma-spezia,I1,Serie A,2122,2021/22,2021-12-13,19:45,roma,spezia,Roma,Spezia,2,0,H,1,0,1,0,1.4,5,7.5
I1-2122-2021-12-17-lazio-genoa,I1,Serie A,2122,2021/22,2021-12-17,17:30,lazio,genoa,Lazio,Genoa,3,1,H,1,0,0,0,1.53,4.33,6
I1-2122-2021-12-17-salernitana-inter,I1,Serie A,2122,2021/22,2021-12-17,19:45,salernitana,inter,Salernitana,Inter,0,5,A,0,2,0,0,15,8,1.16
I1-2122-2021-12-18-atalanta-roma,I1,Serie A,2122,2021/22,2021-12-18,14:00,atalanta,roma,Atalanta,Roma,1,4,A,1,2,0,0,1.7,4.33,4.33
I1-2122-2021-12-18-bologna-juventus,I1,Serie A,2122,2021/22,2021-12-18,17:00,bologna,juventus,Bologna,Juventus,0,2,A,0,1,0,0,4.1,3.7,1.83
I1-2122-2021-12-18-cagliari-udinese,I1,Serie A,2122,2021/22,2021-12-18,19:45,cagliari,udinese,Cagliari,Udinese,0,4,A,0,2,1,0,3,3.25,2.4
I1-2122-2021-12-19-fiorentina-sassuolo,I1,Serie A,2122,2021/22,2021-12-19,11:30,fiorentina,sassuolo,Fiorentina,Sassuolo,2,2,D,0,2,1,0,1.85,3.8,3.9
I1-2122-2021-12-19-spezia-empoli,I1,Serie A,2122,2021/22,2021-12-19,14:00,spezia,empoli,Spezia,Empoli,1,1,D,0,0,0,0,2.62,3.75,2.45
I1-2122-2021-12-19-sampdoria-venezia,I1,Serie A,2122,2021/22,2021-12-19,17:00,sampdoria,venezia,Sampdoria,Venezia,1,1,D,1,0,0,0,1.8,3.8,4.33
I1-2122-2021-12-19-torino-verona,I1,Serie A,2122,2021/22,2021-12-19,17:00,torino,verona,Torino,Verona,1,0,H,1,0,0,1,2.2,3.4,3.3
I1-2122-2021-12-19-milan-napoli,I1,Serie A,2122,2021/22,2021-12-19,19:45,milan,napoli,Milan,Napoli,0,1,A,0,1,0,0,2.25,3.5,3.1
I1-2122-2021-12-21-genoa-atalanta,I1,Serie A,2122,2021/22,2021-12-21,19:45,genoa,atalanta,Genoa,Atalanta,0,0,D,0,0,0,0,7.5,5.25,1.36
I1-2122-2021-12-21-juventus-cagliari,I1,Serie A,2122,2021/22,2021-12-21,19:45,juventus,cagliari,Juventus,Cagliari,2,0,H,1,0,0,0,1.18,6.5,17
I1-2122-2021-12-22-sassuolo-bologna,I1,Serie A,2122,2021/22,2021-12-22,15:30,sassuolo,bologna,Sassuolo,Bologna,0,3,A,0,2,0,0,2,3.6,3.6
I1-2122-2021-12-22-venezia-lazio,I1,Serie A,2122,2021/22,2021-12-22,15:30,venezia,lazio,Venezia,Lazio,1,3,A,1,1,1,0,4.2,3.6,1.85
I1-2122-2021-12-22-inter-torino,I1,Serie A,2122,2021/22,2021-12-22,17:30,inter,torino,Inter,Torino,1,0,H,1,0,0,0,1.3,5.5,10
I1-2122-2021-12-22-roma-sampdoria,I1,Serie A,2122,2021/22,2021-12-22,17:30,roma,sampdoria,Roma,Sampdoria,1,1,D,0,0,0,0,1.55,4.33,5.5
