match_id,date,league,league_name,stufe,season,team,gegner,gegner_platz_spieltag,gegner_spiele_spieltag,gegnerstaerke,faire_heimquote,odds_quelle,minute,endstand,ergebnis,treffer
N1-1718-2017-11-05-ajax-utrecht,2017-11-05,N1,Eredivisie,1,1718,ajax,utrecht,10,10,schwach,1.3333,B365,6,1:2,niederlage,0
SP2-1718-2017-11-05-valladolid-gimnastic,2017-11-05,SP2,LaLiga 2,2,1718,valladolid,gimnastic,19,12,schwach,1.6803,B365,9,0:3,niederlage,0
SP2-1718-2017-11-12-granada-sevilla-b,2017-11-12,SP2,LaLiga 2,2,1718,granada,sevilla b,22,13,schwach,1.7111,B365,18,1:2,niederlage,0
I2-1718-2017-11-17-frosinone-avellino,2017-11-17,I2,Serie B,2,1718,frosinone,avellino,12,14,schwach,1.6266,B365,5,1:1,unentschieden,0
E0-1718-2017-11-18-man-united-newcastle,2017-11-18,E0,Premier League,1,1718,Manchester United,Newcastle,11,11,schwach,1.3211,B365,14,4:1,sieg,1
I2-1718-2017-11-18-foggia-ternana,2017-11-18,I2,Serie B,2,1718,foggia,ternana,20,14,schwach,1.7497,B365,4,1:1,unentschieden,0
T1-1718-2017-11-19-trabzonspor-osmanlispor,2017-11-19,T1,Süper Lig,1,1718,trabzonspor,osmanlispor,17,11,schwach,1.6685,B365,7,4:3,sieg,1
G1-1718-2017-11-20-paok-atromitos,2017-11-20,G1,Griechenland Super League,1,1718,paok,atromitos,3,10,stark,1.4773,B365,22,2:1,sieg,1
E0-1718-2017-11-25-tottenham-west-brom,2017-11-25,E0,Premier League,1,1718,Tottenham,west brom,17,12,schwach,1.2865,B365,4,1:1,unentschieden,0
I1-1718-2017-11-25-sassuolo-verona,2017-11-25,I1,Serie A,1,1718,sassuolo,verona,19,13,schwach,1.747,B365,22,0:2,niederlage,0
SP1-1718-2017-11-26-sociedad-las-palmas,2017-11-26,SP1,La Liga,1,1718,sociedad,las palmas,20,12,schwach,1.5089,B365,21,2:2,unentschieden,0
N1-1718-2017-11-26-ajax-roda,2017-11-26,N1,Eredivisie,1,1718,ajax,roda,18,12,schwach,1.1329,B365,32,5:1,sieg,1
B1-1718-2017-11-26-club-brugge-waregem,2017-11-26,B1,Belgien Pro League,1,1718,club brugge,waregem,10,15,schwach,1.4533,B365,29,3:2,sieg,1
E1-1718-2017-11-28-derby-ipswich,2017-11-28,E1,Championship,2,1718,derby,Ipswich,10,18,schwach,1.7442,B365,5,0:1,niederlage,0
F1-1718-2017-11-29-lyon-lille,2017-11-29,F1,Ligue 1,1,1718,lyon,lille,19,14,schwach,1.399,B365,21,1:2,niederlage,0
E0-1718-2017-12-02-chelsea-newcastle,2017-12-02,E0,Premier League,1,1718,Chelsea,Newcastle,12,14,schwach,1.2756,B365,12,3:1,sieg,1
SP1-1718-2017-12-02-ath-madrid-sociedad,2017-12-02,SP1,La Liga,1,1718,ath madrid,sociedad,7,13,schwach,1.5856,B365,29,2:1,sieg,1
SP1-1718-2017-12-02-barcelona-celta,2017-12-02,SP1,La Liga,1,1718,barcelona,celta,9,13,schwach,1.1779,B365,20,2:2,unentschieden,0
G1-1718-2017-12-02-olympiakos-apollon,2017-12-02,G1,Griechenland Super League,1,1718,olympiakos,apollon,14,12,schwach,1.2191,B365,23,3:1,sieg,1
I2-1718-2017-12-02-frosinone-cesena,2017-12-02,I2,Serie B,2,1718,frosinone,cesena,20,16,schwach,1.6058,B365,18,3:3,unentschieden,0
F1-1718-2017-12-08-bordeaux-strasbourg,2017-12-08,F1,Ligue 1,1,1718,bordeaux,strasbourg,16,16,schwach,1.7226,B365,2,0:3,niederlage,0
D1-1718-2017-12-09-dortmund-werder-bremen,2017-12-09,D1,Bundesliga,1,1718,dortmund,werder bremen,17,14,schwach,1.4633,B365,26,1:2,niederlage,0
F1-1718-2017-12-09-monaco-troyes,2017-12-09,F1,Ligue 1,1,1718,monaco,troyes,16,16,schwach,1.3664,B365,25,3:2,sieg,1
N1-1718-2017-12-09-heerenveen-vvv-venlo,2017-12-09,N1,Eredivisie,1,1718,heerenveen,vvv venlo,13,14,schwach,1.7607,B365,10,2:2,unentschieden,0
B1-1718-2017-12-09-gent-kortrijk,2017-12-09,B1,Belgien Pro League,1,1718,gent,kortrijk,14,17,schwach,1.3808,B365,7,2:1,sieg,1
T1-1718-2017-12-09-galatasaray-akhisar-belediyespor,2017-12-09,T1,Süper Lig,1,1718,galatasaray,akhisar belediyespor,9,14,schwach,1.3724,B365,16,4:2,sieg,1
SC0-1718-2017-12-09-rangers-ross-county,2017-12-09,SC0,Scottish Premiership,1,1718,rangers,ross county,11,16,schwach,1.4533,B365,10,2:1,sieg,1
SP1-1718-2017-12-10-sociedad-malaga,2017-12-10,SP1,La Liga,1,1718,sociedad,malaga,20,14,schwach,1.6083,B365,23,0:2,niederlage,0
B1-1718-2017-12-10-anderlecht-charleroi,2017-12-10,B1,Belgien Pro League,1,1718,anderlecht,charleroi,2,17,stark,1.4845,B365,16,1:3,niederlage,0
N1-1718-2017-12-13-vitesse-willem-ii,2017-12-13,N1,Eredivisie,1,1718,vitesse,willem ii,14,15,schwach,1.6759,B365,13,2:2,unentschieden,0
D1-1718-2017-12-16-dortmund-hoffenheim,2017-12-16,D1,Bundesliga,1,1718,dortmund,hoffenheim,6,16,stark,1.5772,B365,21,2:1,sieg,1
I1-1718-2017-12-16-inter-udinese,2017-12-16,I1,Serie A,1,1718,inter,udinese,13,15,schwach,1.4011,B365,14,1:3,niederlage,0
F2-1718-2017-12-16-reims-valenciennes,2017-12-16,F2,Ligue 2,2,1718,reims,valenciennes,11,18,schwach,1.6,B365,13,5:1,sieg,1
D1-1718-2017-12-17-rb-leipzig-hertha,2017-12-17,D1,Bundesliga,1,1718,rb leipzig,hertha,11,16,schwach,1.6759,B365,6,2:3,niederlage,0
T1-1718-2017-12-17-buyuksehyr-antalyaspor,2017-12-17,T1,Süper Lig,1,1718,buyuksehyr,antalyaspor,16,15,schwach,1.5964,B365,7,4:1,sieg,1
F1-1718-2017-12-20-marseille-troyes,2017-12-20,F1,Ligue 1,1,1718,marseille,troyes,14,18,schwach,1.3664,B365,14,3:1,sieg,1
I2-1718-2017-12-21-cittadella-carpi,2017-12-21,I2,Serie B,2,1718,cittadella,carpi,11,19,schwach,1.7538,B365,13,0:1,niederlage,0
I2-1718-2017-12-21-frosinone-virtus-entella,2017-12-21,I2,Serie B,2,1718,frosinone,virtus entella,18,19,schwach,1.6776,B365,1,4:3,sieg,1
I1-1718-2017-12-23-napoli-sampdoria,2017-12-23,I1,Serie A,1,1718,napoli,sampdoria,6,16,stark,1.3125,B365,2,3:2,sieg,1
N1-1718-2017-12-23-psv-eindhoven-vitesse,2017-12-23,N1,Eredivisie,1,1718,psv eindhoven,vitesse,8,16,schwach,1.4533,B365,32,2:1,sieg,1
SC0-1718-2017-12-23-hibernian-ross-county,2017-12-23,SC0,Scottish Premiership,1,1718,hibernian,ross county,11,19,schwach,1.6304,B365,14,2:1,sieg,1
T1-1718-2017-12-24-galatasaray-goztep,2017-12-24,T1,Süper Lig,1,1718,galatasaray,goztep,6,16,stark,1.4138,B365,9,3:1,sieg,1
E0-1718-2017-12-26-man-united-burnley,2017-12-26,E0,Premier League,1,1718,Manchester United,Burnley,7,19,schwach,1.2756,B365,3,2:2,unentschieden,0
E0-1718-2017-12-30-liverpool-leicester,2017-12-30,E0,Premier League,1,1718,Liverpool,Leicester,8,20,schwach,1.3348,B365,3,2:1,sieg,1
I1-1718-2017-12-30-atalanta-cagliari,2017-12-30,I1,Serie A,1,1718,atalanta,cagliari,16,18,schwach,1.5126,B365,6,1:2,niederlage,0
E1-1718-2017-12-30-sheffield-united-bolton,2017-12-30,E1,Championship,2,1718,Sheffield United,bolton,23,24,schwach,1.6153,B365,21,0:1,niederlage,0
SP1-1718-2018-01-06-sevilla-betis,2018-01-06,SP1,La Liga,1,1718,sevilla,betis,14,17,schwach,1.5772,B365,1,3:5,niederlage,0
SP1-1718-2018-01-06-valencia-girona,2018-01-06,SP1,La Liga,1,1718,valencia,girona,10,17,schwach,1.6952,B365,8,2:1,sieg,1
SP2-1718-2018-01-06-vallecano-gimnastic,2018-01-06,SP2,LaLiga 2,2,1718,vallecano,gimnastic,18,19,schwach,1.54,B365,4,2:3,niederlage,0
